uuid,location,category,sywr,uid,pid,zip,Vertical,SubCategory,Product
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365277,knZdAkz07XjKUJ%2BtE%2BNajBLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60001,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366003,pk%2FDnR9LOcTmJCx%2BDYVCqhLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60002,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366791,cRpuI%2B9XlyuktaywHFGSAhLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60004,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365691,YTB1TqAVtkx%2F9oeni38JChLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60005,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365903,FpCKA2AA9o0kn3sDQ8SaCxLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60006,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61367835,lsqDB3240355eXC%2Bm4tOwRLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60007,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61365862,ubXwb0jTnicIOWmAe6jcuxLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60008,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61366206,n347qVaGgKWeHhiortkfPxLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60009,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61367313,gAA4mLtLuTGvX36RZGpsYRLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60010,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
6.24524E+37,present in requests,Appliances_Washers%20&%20Dryers,61367073,C3Gvf2qdHQzElj6Nfty7eRLLOq4xTOGtCH8kA%2Bq67WQ%3D,00352341000P,60011,Appliances,Appliances_Ranges_Electric%20Ranges,TVs%20&%20Electronics_Cameras%20&%20Camcorders_Camcorders_All%20Camcorders
